character,dressed_as,season,episode
Creed,Creed,9,5
Dwight,Jim,3,21
Dwight,Toby,7,6
Dwight,Kevin,7,11
Dwight,Meredith,7,11
Dwight,Pam,7,11
Dwight,Stanley,7,11
Jim,Dwight,3,21
Michael,Darryl,7,6
Michael,Angela,7,21
Michael,Jim,7,21
Michael,Jo,7,21
Michael,Phyllis,7,21
Nellie,Toby,9,5
